sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Thread Group 5:BSF Sampler,100,16,12,28,3,211,0.0,0.6502542494115199,0.026035570533078433
Thread Group 5:Routing Request,100,5674,5132,10083,1230,10796,0.0,0.6437823500630907,105.8706361615765
Thread Group 10:BSF Sampler,200,8,8,14,3,43,0.0,0.6566052850159391,0.026289860044583502
Thread Group 10:Routing Request,200,13117,12496,17441,2363,21455,0.0,0.6492094252224354,110.12153060961576
Thread Group 15:BSF Sampler,300,8,8,12,3,64,0.0,0.6546944868177265,0.02621335347610038
Thread Group 15:Routing Request,300,20100,20162,25192,321,29964,0.023333333333333334,0.6462954345690501,98.92622263275446
Thread Group 20:BSF Sampler,400,8,7,13,3,64,0.0,0.6170097240732514,0.024704490905276665
Thread Group 20:Routing Request,400,31349,29711,40011,996,42516,0.0075,0.5943139017450543,93.63529277388585
Thread Group 25:BSF Sampler,500,6,4,14,2,63,0.0,0.6291927834104514,0.025192289179520027
Thread Group 25:Routing Request,500,39537,40045,42485,32984,45050,0.0,0.6001341900048851,97.24018235790022
Thread Group 30:BSF Sampler,600,20,6,36,2,609,0.0,0.5625525635051525,0.02252407724971802
Thread Group 30:Routing Request,600,54087,55004,64807,38209,65315,0.285,0.5326515393629487,59.877761846780565
Thread Group 35:BSF Sampler,700,29,8,66,2,270,0.0,0.5489890366889373,0.021981006351803157
Thread Group 35:Routing Request,700,63668,64903,65921,35920,96374,0.9342857142857143,0.5223140002536953,5.702862968590274
Thread Group 40:BSF Sampler,800,17,6,30,1,258,0.0,0.6104745218458307,0.024442827534842834
Thread Group 40:Routing Request,800,65492,64963,75138,60082,98801,1.0,0.5816058428122969,0.3527916535199513
TOTAL,7200,23750,429,64997,1,98801,0.22708333333333333,1.1442478580713098,50.227243018320046
