sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Thread Group 5:BSF Sampler,100,16,3,211,22.1051487215083,0.0,0.6502542494115199,0.026035570533078433,41.0
Thread Group 5:Routing Request,100,5674,1230,10796,2226.974476818268,0.0,0.6437823500630907,105.8706361615765,168397.8
Thread Group 10:BSF Sampler,200,8,3,43,5.749293434849191,0.0,0.6566052850159391,0.026289860044583502,41.0
Thread Group 10:Routing Request,200,13117,2363,21455,3921.338214739325,0.0,0.6492094252224354,110.12153060961576,173695.025
Thread Group 15:BSF Sampler,300,8,3,64,6.233244206136427,0.0,0.6546944868177265,0.02621335347610038,41.0
Thread Group 15:Routing Request,300,20100,321,29964,5075.144895923885,0.023333333333333334,0.6462954345690501,98.92622263275446,156740.16333333333
Thread Group 20:BSF Sampler,400,8,3,64,6.752998870872111,0.0,0.6170097240732514,0.024704490905276665,41.0
Thread Group 20:Routing Request,400,31349,996,42516,6760.599485324877,0.0075,0.5943139017450543,93.63529277388585,161333.16
Thread Group 25:BSF Sampler,500,6,2,63,6.724313793986714,0.0,0.6291927834104514,0.025192289179520027,41.0
Thread Group 25:Routing Request,500,39537,32984,45050,2517.905740891852,0.0,0.6001341900048851,97.24018235790022,165919.47
Thread Group 30:BSF Sampler,600,20,2,609,47.986027017131654,0.0,0.5625525635051525,0.02252407724971802,41.0
Thread Group 30:Routing Request,600,54087,38209,65315,7854.049008281565,0.285,0.5326515393629487,59.877761846780565,115112.45833333333
Thread Group 35:BSF Sampler,700,29,2,270,53.214405062186394,0.0,0.5489890366889373,0.021981006351803157,41.0
Thread Group 35:Routing Request,700,63668,35920,96374,7784.967430304788,0.9342857142857143,0.5223140002536953,5.702862968590274,11180.5
Thread Group 40:BSF Sampler,800,17,1,258,38.97857935376173,0.0,0.6104745218458307,0.024442827534842834,41.0
Thread Group 40:Routing Request,800,65492,60082,98801,8264.627313027691,1.0,0.5816058428122969,0.3527916535199513,621.14
TOTAL,7200,23750,1,98801,27546.235709783577,0.22708333333333333,1.1442478580713098,50.227243018320046,44948.9125
