sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Thread Group 5:Routing Request,100,350,111,168,63,5135,0.0,2.0985037668142614,32.47512453308291
Thread Group 10:Routing Request,200,326,109,184,54,5407,0.0,4.116581590647127,73.83929283560431
Thread Group 20:Routing Request,400,546,138,1508,57,5430,0.0,7.112122612993848,126.79589777768395
Thread Group 40:Routing Request,800,545,142,1469,51,5414,0.0,14.365752047119667,256.70067987605046
Thread Group 50:Routing Request,1000,378,133,274,55,6370,0.0,18.54840205516295,336.8297795754271
Thread Group70:Routing Request,1400,617,171,2247,50,5628,0.0,22.399641605734306,408.3264355270316
Thread Group 60:Routing Request,1200,611,161,1926,56,6579,0.0,19.54524724737768,350.45819671171574
Thread Group 80:Routing Request,1600,647,165,1652,55,6344,0.0,24.373524259273363,433.6847341762511
Thread Group 90:Routing Request,1800,573,165,1627,47,5802,0.0,26.920315865039484,496.04458887630113
TOTAL,17070,294,81,282,1,6579,0.0,31.817215965644117,286.5567846642464
