stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
202935,Ebertpark/Fichtestr.,8.42054,49.4917,STATION,507997,8420906,49491721,"Ludwigshafen a","Friesenheim Ebertpark/Fichtestraße",TRAM;BUS,27
243005,Landgüterhalle,8.450211,49.496218,STATION,508152,8450310,49496117,Mannheim,Landgüterhalle,BUS,13
211401,Luitpoldhafen,8.452679,49.471596,STATION,508020,8452719,49471531,"Ludwigshafen am Rhein",Luitpoldhafen,TRAM,8
234505,Niederweid,8.456503,49.513238,STATION,506444,8456476,49513160,Mannheim,"Friesenheimer Insel Niederweid",BUS,9
260805,"real Vogelstang",8.55558,49.52058,STATION,510204,8555708,49520684,Mannheim,"Vogelstang real",BUS,15
234506,Niederweid,8.456327,49.513194,STATION,506444,8456476,49513160,Mannheim,"Friesenheimer Insel Niederweid",BUS,11
555505,Eugen-Neter-Schule,8.494274,49.565574,STATION,509688,8493152,49565972,Mannheim,"Blumenau Eugen-Neter-Schule",BUS,92
144602,"Hilsenhain Dell",8.777158,49.513695,STATION,507115,8777319,49513619,Heiligkreuzsteinach,"Hilsenhain Dell",BUS,14
65802,"Ellerstadt West",8.255178,49.462614,STATION,506100,8255001,49462596,,"Ellerstadt West",TRAM,13
555520,Eugen-Neter-Schule,8.492711,49.56596,STATION,509688,8493152,49565972,Mannheim,"Blumenau Eugen-Neter-Schule",BUS,32
246501,Strohmarkt,8.469659,49.486397,STATION,508183,8469978,49486318,Mannheim,Strohmarkt,TRAM;BUS,25
429502,"Schriesheimer Hof",8.754297,49.470321,STATION,510631,8754091,49470336,Wilhelmsfeld,"Schriesheimer Hof",BUS,15
65801,"Ellerstadt West",8.254881,49.462578,STATION,506100,8255001,49462596,,"Ellerstadt West",TRAM,9
246502,Strohmarkt,8.470126,49.48618,STATION,508183,8469978,49486318,Mannheim,Strohmarkt,TRAM;BUS,19
429501,"Schriesheimer Hof",8.754447,49.470209,STATION,510631,8754091,49470336,Wilhelmsfeld,"Schriesheimer Hof",BUS,29
246506,Strohmarkt,8.470116,49.486261,STATION,508183,8469978,49486318,Mannheim,Strohmarkt,TRAM;BUS,12
407711,Hohensachsen,8.655371,49.520176,STATION,507212,8655228,49520504,Weinheim,Hohensachsen,TRAM,38
695702,"Untere Rödt",8.647244,49.402146,STATION,508903,8647200,49402179,Heidelberg,"Pfaffengrund Untere Rödt",BUS;ON_DEMAND,5
407712,Hohensachsen,8.655305,49.520754,STATION,507212,8655228,49520504,Weinheim,Hohensachsen,TRAM,28
122805,Bunsengymnasium,8.675594,49.4169,STATION,508628,8675561,49416922,Heidelberg,"Neuenheim Bunsengymnasium West",BUS,3
122802,Bunsengymnasium,8.676348,49.417658,STATION,518415,8676316,49416949,Heidelberg,"Neuenheim Bunsengymnasium",TRAM;BUS,79
122801,Bunsengymnasium,8.676361,49.416166,STATION,518415,8676316,49416949,Heidelberg,"Neuenheim Bunsengymnasium",TRAM;BUS,87
122804,Bunsengymnasium,8.676752,49.417035,STATION,518417,8676649,49417012,Heidelberg,"Neuenheim Bunsengymnasium",TRAM;BUS,8
122803,Bunsengymnasium,8.67696,49.41692,STATION,518416,8676757,49416886,Heidelberg,"Neuenheim Bunsengymnasium",TRAM;BUS,15
256306,Krähenflügel,8.457486,49.551417,STATION,509465,8457150,49551427,Mannheim,"Sandhofen Krähenflügel",BUS,24
256305,Krähenflügel,8.456694,49.55131,STATION,509465,8457150,49551427,Mannheim,"Sandhofen Krähenflügel",BUS,35
214905,"Bexbacher Straße",8.397213,49.492064,STATION,508948,8397786,49492045,"Ludwigshafen am Rhein","Oggersheim Bexbacher Straße",BUS,41
214906,"Bexbacher Straße",8.398313,49.492066,STATION,508948,8397786,49492045,"Ludwigshafen am Rhein","Oggersheim Bexbacher Straße",BUS,38
673905,"Budapester Straße",8.389165,49.537945,STATION,506682,8389156,49537908,"Ludwigshafen am Rh","Pfingstweide Budapester Straße",BUS,4
119603,"Altes Hallenbad",8.68851,49.40842,STATION,511058,8688506,49408445,Heidelberg,"Altes Hallenbad",TRAM;BUS,3
119604,"Altes Hallenbad",8.68811,49.40839,STATION,511052,8688119,49408400,Heidelberg,"Altes Hallenbad",TRAM;BUS,1
300102,Bildungszentrum,8.8059,49.38412,STATION,508567,8805761,49384057,Neckargemünd,Bildungszentrum,BUS,12
410912,"Weinheim Hauptbahnh.",8.66546,49.55121,STATION,510445,8665637,49551571,Weinheim,Luisenstraße,TRAM,42
410911,"Weinheim Hauptbahnh.",8.665713,49.551813,STATION,510445,8665637,49551571,Weinheim,Luisenstraße,TRAM,27
600505,Akademiestraße,8.456721,49.4924,STATION,508108,8456791,49492386,Mannheim,Akademiestraße,BUS,5
600506,Akademiestraße,8.45682,49.492495,STATION,508108,8456791,49492386,Mannheim,Akademiestraße,BUS,12
77805,"FT Feierabendhaus",8.3588,49.53737,STATION,506338,8359141,49537413,"Frankenthal (Pfalz)",Feierabendhaus,BUS,25
236705,"Platz der Freundsch.",8.53784,49.51845,STATION,511086,8537820,49518446,Mannheim,"Käfertal Platz der Freundschaft",TRAM;BUS,2
259802,Carl-Benz-Bad,8.50583,49.52675,STATION,511179,8505521,49526581,Mannheim,"Käfertal Carl-Benz-Bad",TRAM,29
116102,Hirschgasse,8.715859,49.415935,STATION,508632,8716624,49416176,Heidelberg,"Neuenheim Hirschgasse",BUS,62
259801,Carl-Benz-Bad,8.5053,49.52631,STATION,511179,8505521,49526581,Mannheim,"Käfertal Carl-Benz-Bad",TRAM,34
116101,Hirschgasse,8.716972,49.416292,STATION,508632,8716624,49416176,Heidelberg,"Neuenheim Hirschgasse",BUS,28
62312,"Edingen West",8.60506,49.44644,STATION,506043,8604340,49446928,Edingen-Neckarhausen,"Edingen West",TRAM,75
110802,"Am Bächenbuckel",8.76063,49.42312,STATION,510786,8760321,49422962,Heidelberg,"Ziegelhausen Am Bächenbuckel",BUS,28
110801,"Am Bächenbuckel",8.76088,49.42319,STATION,510786,8760321,49422962,Heidelberg,"Ziegelhausen Am Bächenbuckel",BUS,48
244306,Mühldorferstraße,8.488087,49.476958,STATION,508164,8488064,49477104,Mannheim,Mühldorferstraße,BUS,16
244305,Mühldorferstraße,8.488142,49.477153,STATION,508164,8488064,49477104,Mannheim,Mühldorferstraße,BUS,8
345001,Sparkasse,8.80936,49.434879,STATION,509685,8809384,49434963,"Schönau (Odenwald)",Sparkasse,BUS,10
269605,"G.-Heieck-Str.(Melm)",8.384058,49.510326,STATION,505445,8384050,49510248,"Ludwigshafen am Rh","Oggersheim Georg-Heieck-Straße",BUS,9
131302,"Ziegelhausen Kirche",8.76117,49.417824,STATION,510802,8761255,49417928,Heidelberg,"Ziegelhausen Kirche",BUS,13
131301,"Ziegelhausen Kirche",8.761224,49.417848,STATION,510802,8761255,49417928,Heidelberg,"Ziegelhausen Kirche",BUS,9
62311,"Edingen West",8.60354,49.4474,STATION,506043,8604340,49446928,Edingen-Neckarhausen,"Edingen West",TRAM,78
236711,"Platz der Freundsch.",8.538109,49.518339,STATION,511083,8538170,49518437,Mannheim,"Käfertal Platz der Freundschaft",TRAM;BUS,12
236712,"Platz der Freundsch.",8.539196,49.518522,STATION,507632,8539105,49518671,Mannheim,"Käfertal Platz der Freundschaft",TRAM;BUS,18
608006,"Am Salzkai",8.46081,49.49641,STATION,518889,8460629,49496584,Mannheim,"Am Salzkai",BUS,23
233205,"Rotterdamer S. Nord",8.513912,49.427785,STATION,509228,8513881,49427790,Mannheim,"Rheinau Rotterdamer Straße Nord",BUS,2
