stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
FUR_CREEK_RES,Furnace Creek Resort (Demo),,36.425288,-117.133162,,,
BEATTY_AIRPORT,Nye County Airport (Demo),,36.868446,-116.784582,,,
BULLFROG,Bullfrog (Demo),,36.88108,-116.81797,,,
STAGECOACH,Stagecoach Hotel & Casino (Demo),,36.915682,-116.751677,,,
NADAV,North Ave / D Ave N (Demo),,36.914893,-116.76821,,,
NANAA,North Ave / N A Ave (Demo),,36.914944,-116.761472,,,
DADAN,Doing Ave / D Ave N (Demo),,36.909489,-116.768242,,,
EMSI,E Main St / S Irving St (Demo),,36.905697,-116.76218,,,
AMV,Amargosa Valley (Demo),,36.641496,-116.40094,,,
HASNOROUTES,A stop with no routes,,36.7,-116.5,,,
BOARDING_AREA,A boarding area (currently unused GTFS feature),,36.8,-117,,,4
